representation,model,split,accuracy,f1,auc,ap
All3,lr_l1,26,0.7567567567567568,0.7428571428571429,0.8205882352941176,0.7899805866436301
All3,lr_l1,27,0.6944444444444444,0.6666666666666666,0.869969040247678,0.8874529046488064
All3,lr_l1,28,0.8333333333333334,0.85,0.8544891640866873,0.8516229411191187
All3,lr_l1,29,0.8055555555555556,0.8205128205128205,0.8281249999999999,0.8574117981261946
All3,lr_l1,30,0.6111111111111112,0.65,0.709375,0.7201509868337039
All3,lr_l1,31,0.7837837837837838,0.7894736842105263,0.8323529411764705,0.7708621394515357
All3,lr_l1,32,0.6388888888888888,0.6829268292682927,0.7089783281733746,0.7499492076767291
All3,lr_l1,33,0.6944444444444444,0.717948717948718,0.7120743034055727,0.7542344507847247
All3,lr_l1,34,0.75,0.7692307692307693,0.8062499999999999,0.7837451309010907
All3,lr_l1,35,0.8055555555555556,0.8,0.86875,0.9124293331041757
All3,lr_l1,36,0.6216216216216216,0.65,0.6911764705882353,0.6711289449574296
All3,lr_l1,37,0.7222222222222222,0.7727272727272727,0.7213622291021672,0.7487371832240477
All3,lr_l1,38,0.7777777777777778,0.7894736842105263,0.8637770897832817,0.8621549529669201
All3,lr_l1,39,0.7777777777777778,0.8,0.8187500000000001,0.8429777762498569
All3,lr_l1,40,0.7777777777777778,0.7894736842105263,0.85625,0.89947858514035
All3,lr_l1,41,0.7567567567567568,0.7692307692307693,0.8323529411764705,0.8380416467009468
All3,lr_l1,42,0.75,0.7428571428571429,0.7616099071207431,0.7358416156524594
All3,lr_l1,43,0.8055555555555556,0.8,0.8792569659442724,0.9047489808924942
All3,lr_l1,44,0.6944444444444444,0.717948717948718,0.7562500000000001,0.8193554044542273
All3,lr_l1,45,0.6111111111111112,0.631578947368421,0.753125,0.7244554616636659
All3,lr_l1,46,0.7567567567567568,0.7567567567567568,0.8029411764705883,0.8502477221696532
All3,lr_l1,47,0.8055555555555556,0.7878787878787878,0.9009287925696594,0.9266385130829455
All3,lr_l1,48,0.7222222222222222,0.7058823529411765,0.7739938080495357,0.8346088633775399
All3,lr_l1,49,0.75,0.7804878048780488,0.74375,0.7211895585355547
All3,lr_l1,50,0.6666666666666666,0.7142857142857143,0.746875,0.7936343029783812
All3,pca64_lr_l2,1,0.6756756756756757,0.6842105263157895,0.6911764705882353,0.7462902889557304
All3,pca64_lr_l2,2,0.75,0.7804878048780488,0.8080495356037152,0.7314736713703068
All3,pca64_lr_l2,3,0.8611111111111112,0.8780487804878049,0.8668730650154799,0.8745318867548784
All3,pca64_lr_l2,4,0.6666666666666666,0.6470588235294118,0.8312499999999999,0.8661734246874409
All3,pca64_lr_l2,5,0.6388888888888888,0.6285714285714286,0.6874999999999999,0.6960124891448422
All3,pca64_lr_l2,6,0.6756756756756757,0.7,0.6970588235294117,0.6876618052412063
All3,pca64_lr_l2,7,0.75,0.7428571428571429,0.8080495356037151,0.8398500237835416
All3,pca64_lr_l2,8,0.8055555555555556,0.8205128205128205,0.826625386996904,0.8510065313083888
All3,pca64_lr_l2,9,0.6666666666666666,0.6842105263157895,0.7125,0.7078298627823166
All3,pca64_lr_l2,10,0.7222222222222222,0.7368421052631579,0.825,0.8435169855383546
All3,pca64_lr_l2,11,0.7837837837837838,0.7894736842105263,0.8147058823529412,0.8620643956507335
All3,pca64_lr_l2,12,0.6944444444444444,0.6857142857142857,0.8018575851393188,0.7899930910935082
All3,pca64_lr_l2,13,0.75,0.7804878048780488,0.7708978328173375,0.790399327169435
All3,pca64_lr_l2,14,0.7777777777777778,0.8181818181818182,0.7453125,0.6978313535350149
All3,pca64_lr_l2,15,0.5833333333333334,0.6153846153846154,0.646875,0.7226032544009218
All3,pca64_lr_l2,16,0.5675675675675675,0.5555555555555556,0.5941176470588235,0.6668291371209345
All3,pca64_lr_l2,17,0.6944444444444444,0.6666666666666666,0.8111455108359132,0.7751414344531637
All3,pca64_lr_l2,18,0.8888888888888888,0.9,0.9164086687306501,0.9324764740175362
All3,pca64_lr_l2,19,0.6388888888888888,0.6666666666666666,0.70625,0.7658125329337808
All3,pca64_lr_l2,20,0.6944444444444444,0.7441860465116279,0.7531249999999999,0.7359291580213185
All3,pca64_lr_l2,21,0.6216216216216216,0.5882352941176471,0.8029411764705882,0.8079380548072499
All3,pca64_lr_l2,22,0.8055555555555556,0.8205128205128205,0.8452012383900929,0.845854173908704
