path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC114_Balance.csv	syn61370552	HC114_Balance.csv	syn61498512	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC114_HurriedPace.csv	syn61370552	HC114_HurriedPace.csv	syn61498516	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC114_HurriedPace_mat.csv	syn61370552	HC114_HurriedPace_mat.csv	syn61498518	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC114_SelfPace.csv	syn61370552	HC114_SelfPace.csv	syn61498522	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC114_SelfPace_mat.csv	syn61370552	HC114_SelfPace_mat.csv	syn61498525	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC114_SelfPace_matTURN.csv	syn61370552	HC114_SelfPace_matTURN.csv	syn61498528	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC114_TUG.csv	syn61370552	HC114_TUG.csv	syn61498535	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC114_TandemGait.csv	syn61370552	HC114_TandemGait.csv	syn61498531	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC115_Balance.csv	syn61370552	HC115_Balance.csv	syn61498542	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC115_HurriedPace.csv	syn61370552	HC115_HurriedPace.csv	syn61498545	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC115_HurriedPace_mat.csv	syn61370552	HC115_HurriedPace_mat.csv	syn61498548	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC115_SelfPace.csv	syn61370552	HC115_SelfPace.csv	syn61498554	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC115_SelfPace_mat.csv	syn61370552	HC115_SelfPace_mat.csv	syn61498557	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC115_SelfPace_matTURN.csv	syn61370552	HC115_SelfPace_matTURN.csv	syn61498561	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC115_TUG.csv	syn61370552	HC115_TUG.csv	syn61498568	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC115_TandemGait.csv	syn61370552	HC115_TandemGait.csv	syn61498564	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC116_Balance.csv	syn61370552	HC116_Balance.csv	syn61498572	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC116_HurriedPace.csv	syn61370552	HC116_HurriedPace.csv	syn61498575	True	text/csv				
